Nr.,Name,Adresse,Stadt/Region,Kapazität,Kosten,Ausstattung,Verfügbarkeit,Kontakt (Name),Kontakt (Email/Tel),Website,Stimmung,KINN Events,Notizen,Status,Lat,Lng
1,InnCubator Co-Workingspace,Egger-Lienz-Straße 116,Innsbruck,6,Kostenlos (inkl. Kaffee),"Gratis Kaffee, 200/40 Mbit Internet, Meeting-Räume, Beamer",Donnerstag 8-10 Uhr (Rotation),Robert Schimpf,"robert.schimpf@inncubator.at
+43 650 4420 987",inncubator.at,"Startup-Atmosphäre, modern, offen, Gründergeist",KINN#1,KINN-Geburtsort (Nov 2025). Gründung mit 4 Personen. Robert = Key Contact.,Bestätigt,47.2555833,11.3809403
2,Impact Hub Tirol,Dreiheiligenstraße 21a,Innsbruck,24,Kostenlos,"24/7 Zugang, Meeting-Räume, Café, Terrassen, Küche",Donnerstag 8-10 Uhr (Rotation),Lena Obermair,"lena.obermair@impacthub.net
+43 670 6560176",tirol.impacthub.net,"Impact-orientiert, Nachhaltigkeit, Social Enterprise Community","KINN#8, KINN#3",Globales Hub-Netzwerk. Sustainability-Fokus passt zu KINN-Werten.,Bestätigt,47.2688441,11.4047938
10,Lernbar / WIFI Campus,WIFI Innsbruck,Innsbruck,84,Kostenlos (inkl. Kaffee),"Großer Veranstaltungsraum, Technik, Bestuhlung",Für größere Events,Robert (via InnCubator),,,"Institutionell, professionell, großzügig","KINN#7, KINN#11, KINN#15",Kapazitätsgrenze bei KINN#11 erreicht. Für Großevents geeignet.,Bestätigt,47.2572766,11.3786939
3,Das Wundervoll,Pembaurstraße 14,Innsbruck,30,Kostenlos,"800m², 5 Ebenen, 80+ Pflanzen, Gemeinschaftsküche, Dachterrasse, Fahrradstellplätze",Donnerstag 8-10 Uhr (Rotation),Andrea,"post@daswundervoll.at
+43 650 8754963",daswundervoll.at,"Kreative grüne Oase, Wellness-orientiert, viel Licht & Pflanzen","KINN#10, KINN#18, KINN#4",5 Ebenen - flexibel für verschiedene Formate. Sehr einzigartige Atmosphäre.,Bestätigt,47.2704116,11.4107418
4,raum13,Maria-Theresien-Straße 42a,Innsbruck,24,Kostenlos (inkl. Kaffee),"24/7 Zugang, Videoprojektor, Zirbenholztische, hohe Decken","Donnerstag 8-10 Uhr (Rotation)
Auch Abendformat möglich (Herwig-Einladung)",Herwig Zöttl,Kontaktformular Website,raum13.at,"Designer-Ästhetik, Altbau + Contemporary, zentrale Lage Innenstadt","KINN#5, KINN#14",Top-Lage Maria-Theresien-Straße. Premium-Atmosphäre. 4 Meeting-Räume. Abend-Event-Einladung von Herwig ausgesprochen.,Bestätigt,47.2631342,11.3946131
5,FILMBASE,Hallerstraße 119a,Innsbruck,24,Kostenlos (inkl. Kaffee),"Film-/Fotostudio, Greenscreen, kleines Kino, Open Space",Donnerstag 8-10 Uhr (Rotation),Simon Varges,simon@innputagency.com,filmbase.at,"Kreativindustrie-Fokus, einzigartig für Präsentationen, Kino-Flair",KINN#12,"Mieter: Schnittraum, Lensecape, fancy tree films. Kino für Vorträge nutzbar.",Bestätigt,47.2783351,11.4241357
6,Werkstätte Wattens,Weisstraße 9,Wattens,30,Kostenlos (inkl. Kaffee),"FabLab, Meeting-Räume, Dachterrasse, Glasfaser-Internet, 9000m² Gesamtfläche",Donnerstag 8-10 Uhr (Rotation),Susanne Knapp,"susanne.knapp@werkstaette-wattens.at
+43 664 88784723",werkstaette-wattens.at,"Innovationshub, Swarovski-Heritage, industriell-kreativ",KINN#9,Erste Expansion außerhalb Innsbruck. Swarovski-Gelände. Max Herbst als weiterer Kontakt.,Bestätigt,47.2872646,11.5929236
7,SOHO 2,Grabenweg 68,Innsbruck,36,Kostenlos (inkl. Kaffee),"10.000m² Gebäude, Atrium, ökologische Heizung/Kühlung, Klavier, Konferenzräume",Donnerstag 8-10 Uhr (Rotation),Hermann Walcher,"walcher@cityreal.at
+43 512 39 21 31-25",soho2.at,"Nachhaltig, Blue Building zertifiziert, Networking-fokussiert, Atrium-Feeling","KINN#6, KINN#17","Schlüsselkontakte-Meeting Feb 2026 stattgefunden. Betriebskosten <€2/m². Großes Potenzial. KINN#19 am 19. März geplant, evtl. regelmäßig alle paar Wochen.",Bestätigt,47.264598,11.439862
8,Campus Casablanca,"Öde 32, 6491 Schönwies",Schönwies (Oberland),30,Kostenlos (inkl. Kaffee & Frühstück),"Coworking Space, Meeting-Raum",Donnerstag 8-10 Uhr (Rotation),Maximilian Erhard,,,"Ländlich, Oberland-Feeling, Community-nah",KINN#13,Erste Oberland-Location. Expansion Richtung Westen.,Bestätigt,47.1991637,10.6650397
9,START.N,"Schlossbergstraße 1, 6370 Kitzbühel",Kitzbühel (Unterland),36,Kostenlos (inkl. Kaffee & Frühstück),Startup-Infrastruktur,Donnerstag 8-10 Uhr (Rotation),Gregor,,,"Startup-Szene, Unterland-Hub, dynamisch",KINN#16,Startup-Szene seit letztem Jahr aktiv. Kitzbühel-Expansion.,Bestätigt,47.4419605,12.3995593
11,WKO Gebäude Innsbruck,Wilhelm-Greil-Straße 7,Innsbruck,300,Kostenlos (inkl. Kaffee),"Foyer für Events, kleinere Meetingräume, Kaffee inklusive, Buffet möglich","TechTalk Summit 31.3.
KI Afterwork 28.4.",Rafael Pauley,,wko.at/tirol,"Institutionell, KMU-nah, seriös, Business-Atmosphäre","TechTalk Summit, KI Afterwork",Supporter-Rolle. Newsletter-Promotion. Direkter KMU-Zugang. 4 Experten-Cluster geplant.,Bestätigt,47.2659186,11.3975666
32,Museen Tirol Bauernhöfe,"Angerberg 10, 6233 Kramsach",Kramsach (Unterland),30,Kostenlos (inkl. Kaffee & Frühstück),"Glasfront-Halle, Seminartische, WLAN, Heizung, 150m vom Parkplatz, Bus ab Brixlegg",Donnerstag 8-10 Uhr (Rotation),Max Herbst,LinkedIn: Maximilian Herbst,https://www.museum-tb.at/,"Verglaste Halle ""mitten im Wald"", 9 Hektar, 37 historische Gebäude",KINN#20,"Termin 9.4. fix, TikTok 796k Reichweite, ORF/Tirol TV, Joe Margreiter Draht, Escape Room Cross-Promo, ""Hack am Hof"" Idee, März Besichtigung",Bestätigt,47.4638797,11.9185334
27,Press the Button (Büro),"Grabenweg 71, Stiege 2, OG Top 2-12",Innsbruck,7-9 (Büro/Studio),Kostenlos,"Fotostudio, Büroräume, Lift, Parkgarage, barrierefrei",Termin offen,über Kathy,"office@pressthebutton.at
+43 512 37 40 50",pressthebutton.net,"Kreativ, Fotostudio-Vibe, Business Park Rossau",TechTalk,DIY-Fotostudio mit Büroräumen. Gleiche Gegend wie SOHO 2 (Grabenweg 68).,Bestätigt,47.2651446,11.4396927
